node_num,x,y,z
100001,15.328125,-14.994791666666666,-10.0
300001,15.328125,-14.994791666666666,-10.0
310001,15.328125,-14.994791666666666,-10.0
100002,15.328125,-4.0,-10.0
300002,15.328125,-4.0,-10.0
310002,15.328125,-4.0,-10.0
100003,15.328125,4.0,-10.0
300003,15.328125,4.0,-10.0
310003,15.328125,4.0,-10.0
100004,15.328125,14.994791666666666,-10.0
300004,15.328125,14.994791666666666,-10.0
310004,15.328125,14.994791666666666,-10.0
100005,4.0,-14.994791666666666,-10.0
300005,4.0,-14.994791666666666,-10.0
310005,4.0,-14.994791666666666,-10.0
100006,4.0,-4.0,-10.0
100007,4.0,4.0,-10.0
100008,4.0,14.994791666666666,-10.0
300008,4.0,14.994791666666666,-10.0
310008,4.0,14.994791666666666,-10.0
100009,-4.0,-14.994791666666666,-10.0
300009,-4.0,-14.994791666666666,-10.0
310009,-4.0,-14.994791666666666,-10.0
100010,-4.0,-4.0,-10.0
100011,-4.0,4.0,-10.0
100012,-4.0,14.994791666666666,-10.0
300012,-4.0,14.994791666666666,-10.0
310012,-4.0,14.994791666666666,-10.0
100013,-15.328125,-14.994791666666666,-10.0
300013,-15.328125,-14.994791666666666,-10.0
310013,-15.328125,-14.994791666666666,-10.0
100014,-15.328125,-4.0,-10.0
300014,-15.328125,-4.0,-10.0
310014,-15.328125,-4.0,-10.0
100015,-15.328125,4.0,-10.0
300015,-15.328125,4.0,-10.0
310015,-15.328125,4.0,-10.0
100016,-15.328125,14.994791666666666,-10.0
300016,-15.328125,14.994791666666666,-10.0
310016,-15.328125,14.994791666666666,-10.0
100017,15.328125,-14.994791666666666,0.0
110017,15.328125,-14.994791666666666,0.0
200017,15.328125,-14.994791666666666,0.0
210017,15.328125,-14.994791666666666,0.0
300017,15.328125,-14.994791666666666,0.0
310017,15.328125,-14.994791666666666,0.0
320017,15.328125,-14.994791666666666,0.0
330017,15.328125,-14.994791666666666,0.0
340017,15.328125,-14.994791666666666,0.0
350017,15.328125,-14.994791666666666,0.0
100018,15.328125,-4.0,0.0
110018,15.328125,-4.0,0.0
200018,15.328125,-4.0,0.0
210018,15.328125,-4.0,0.0
220018,15.328125,-4.0,0.0
300018,15.328125,-4.0,0.0
310018,15.328125,-4.0,0.0
100019,15.328125,4.0,0.0
110019,15.328125,4.0,0.0
200019,15.328125,4.0,0.0
210019,15.328125,4.0,0.0
220019,15.328125,4.0,0.0
300019,15.328125,4.0,0.0
310019,15.328125,4.0,0.0
100020,15.328125,14.994791666666666,0.0
110020,15.328125,14.994791666666666,0.0
200020,15.328125,14.994791666666666,0.0
210020,15.328125,14.994791666666666,0.0
300020,15.328125,14.994791666666666,0.0
310020,15.328125,14.994791666666666,0.0
320020,15.328125,14.994791666666666,0.0
330020,15.328125,14.994791666666666,0.0
340020,15.328125,14.994791666666666,0.0
350020,15.328125,14.994791666666666,0.0
100021,4.0,-14.994791666666666,0.0
110021,4.0,-14.994791666666666,0.0
200021,4.0,-14.994791666666666,0.0
210021,4.0,-14.994791666666666,0.0
220021,4.0,-14.994791666666666,0.0
300021,4.0,-14.994791666666666,0.0
310021,4.0,-14.994791666666666,0.0
100022,4.0,-4.0,0.0
110022,4.0,-4.0,0.0
200022,4.0,-4.0,0.0
210022,4.0,-4.0,0.0
220022,4.0,-4.0,0.0
230022,4.0,-4.0,0.0
100023,4.0,4.0,0.0
110023,4.0,4.0,0.0
200023,4.0,4.0,0.0
210023,4.0,4.0,0.0
220023,4.0,4.0,0.0
230023,4.0,4.0,0.0
100024,4.0,14.994791666666666,0.0
110024,4.0,14.994791666666666,0.0
200024,4.0,14.994791666666666,0.0
210024,4.0,14.994791666666666,0.0
220024,4.0,14.994791666666666,0.0
300024,4.0,14.994791666666666,0.0
310024,4.0,14.994791666666666,0.0
100025,-4.0,-14.994791666666666,0.0
110025,-4.0,-14.994791666666666,0.0
