Period(s) RotD50Sa(g) RotD100Sa(g)
0.1 0.042708032752287295 0.056325500086085355
0.2 0.046320955550084114 0.06461073231992205
0.30000000000000004 0.04526684685841448 0.06805608783874098
0.4 0.04910602805197757 0.05834161616743497
0.5 0.043636782174082414 0.04946844488762707
0.6 0.04801859486405819 0.05600852630881871
0.7000000000000001 0.05914172819299965 0.062276243190579526
0.8 0.056368491813609235 0.06248927910435572
0.9 0.061331486097450094 0.06471856042092329
1.0 0.05822553466918289 0.0660242065190937
1.2 0.07455868851805472 0.09815981927626034
1.4 0.06756798073499952 0.07816132462919044
1.5999999999999999 0.07163317410278144 0.0849031369088776
1.7999999999999998 0.05745366832328872 0.07576800555855175
1.9999999999999998 0.045371571808229205 0.06091234217435597
2.1999999999999997 0.03603327081578161 0.042822948595041065
2.5 0.037391131338027725 0.050622048981434305
3.0 0.03428041984772007 0.04102426194202272
3.5 0.027692700733291185 0.0361472275065405
4.0 0.02263526424796717 0.027770847088261608
4.5 0.017483212421655764 0.021621977702530965
5.0 0.013635142412169973 0.01570566954587645
