1  0.0  0.0
7  0.0  0.5
13  0.0  1.0
19  0.0  1.5
25  0.0  2.0
31  0.0  2.5
37  0.0  3.0
43  0.0  3.5
49  0.0  4.0
55  0.0  4.5
61  0.0  5.0
67  0.0  5.5
73  0.0  6.0
79  0.0  6.5
85  0.0  7.0
91  0.0  7.5
97  0.0  8.0
103  0.0  8.5
109  0.0  9.0
115  0.0  9.5
121  0.0  10.0
127  0.0  10.5
133  0.0  11.0
139  0.0  11.5
145  0.0  12.0
151  0.0  12.5
157  0.0  13.0
163  0.0  13.5
169  0.0  14.0
175  0.0  14.5
181  0.0  15.0
187  0.0  15.5
193  0.0  16.0
199  0.0  16.5
205  0.0  17.0
211  0.0  17.5
217  0.0  18.0
223  0.0  18.5
229  0.0  19.0
235  0.0  19.5
241  0.0  20.0
3  2.0  0.0
9  2.0  0.5
15  2.0  1.0
21  2.0  1.5
27  2.0  2.0
33  2.0  2.5
39  2.0  3.0
45  2.0  3.5
51  2.0  4.0
57  2.0  4.5
63  2.0  5.0
69  2.0  5.5
75  2.0  6.0
81  2.0  6.5
87  2.0  7.0
93  2.0  7.5
99  2.0  8.0
105  2.0  8.5
111  2.0  9.0
117  2.0  9.5
123  2.0  10.0
129  2.0  10.5
135  2.0  11.0
141  2.0  11.5
147  2.0  12.0
153  2.0  12.5
159  2.0  13.0
165  2.0  13.5
171  2.0  14.0
177  2.0  14.5
183  2.0  15.0
189  2.0  15.5
195  2.0  16.0
201  2.0  16.5
207  2.0  17.0
213  2.0  17.5
219  2.0  18.0
225  2.0  18.5
231  2.0  19.0
237  2.0  19.5
243  2.0  20.0
247  0.0  20.5
253  0.0  21.0
259  0.0  21.5
265  0.0  22.0
271  0.0  22.5
277  0.0  23.0
283  0.0  23.5
289  0.0  24.0
295  0.0  24.5
301  0.0  25.0
307  0.0  25.5
313  0.0  26.0
319  0.0  26.5
325  0.0  27.0
331  0.0  27.5
337  0.0  28.0
249  2.0  20.5
255  2.0  21.0
261  2.0  21.5
267  2.0  22.0
273  2.0  22.5
279  2.0  23.0
285  2.0  23.5
291  2.0  24.0
297  2.0  24.5
303  2.0  25.0
309  2.0  25.5
315  2.0  26.0
321  2.0  26.5
327  2.0  27.0
333  2.0  27.5
339  2.0  28.0
343  0.0  28.5
349  0.0  29.0
355  0.0  29.5
361  0.0  30.0
345  2.0  28.5
351  2.0  29.0
357  2.0  29.5
363  2.0  30.0
